reference image,compress image,ref img shape,ref image size,cps stream size,compress ratio,psnr,ssim
alexandre-perotto-75274.png,alexandre-perotto-75274_quality_80.webp,"(1353, 2048, 3)",8118,593,13.6897133221,32.9160362366,0.960145
alexandre-perotto-75274.png,alexandre-perotto-75274_quality_70.webp,"(1353, 2048, 3)",8118,458,17.7248908297,31.4732297229,0.946197
alexandre-perotto-75274.png,alexandre-perotto-75274_quality_60.webp,"(1353, 2048, 3)",8118,406,19.9950738916,30.769719771,0.938235
alexandre-perotto-75274.png,alexandre-perotto-75274_quality_50.webp,"(1353, 2048, 3)",8118,354,22.9322033898,30.1183683348,0.92944
alexandre-perotto-75274.png,alexandre-perotto-75274_quality_40.webp,"(1353, 2048, 3)",8118,304,26.7039473684,29.3523883655,0.918754
alexandre-perotto-75274.png,alexandre-perotto-75274_quality_30.webp,"(1353, 2048, 3)",8118,250,32.472,28.4423672176,0.903525
alexandre-perotto-75274.png,alexandre-perotto-75274_quality_20.webp,"(1353, 2048, 3)",8118,199,40.7939698492,27.589898703,0.884167
alexandre-perotto-75274.png,alexandre-perotto-75274_quality_10.webp,"(1353, 2048, 3)",8118,147,55.2244897959,26.6318494769,0.85296
ali-inay-2273.png,ali-inay-2273_quality_100.webp,"(1360, 2048, 3)",8160,1424,5.73033707865,40.8060146565,0.992854
ali-inay-2273.png,ali-inay-2273_quality_90.webp,"(1360, 2048, 3)",8160,813,10.036900369,38.0484490597,0.986532
ali-inay-2273.png,ali-inay-2273_quality_80.webp,"(1360, 2048, 3)",8160,529,15.4253308129,34.872146325,0.973241
ali-inay-2273.png,ali-inay-2273_quality_70.webp,"(1360, 2048, 3)",8160,406,20.0985221675,32.9010283768,0.957449
ali-inay-2273.png,ali-inay-2273_quality_60.webp,"(1360, 2048, 3)",8160,364,22.4175824176,32.1230160428,0.949764
ali-inay-2273.png,ali-inay-2273_quality_50.webp,"(1360, 2048, 3)",8160,320,25.5,31.3172551621,0.940054
ali-inay-2273.png,ali-inay-2273_quality_40.webp,"(1360, 2048, 3)",8160,272,30.0,30.3752700826,0.927292
ali-inay-2273.png,ali-inay-2273_quality_30.webp,"(1360, 2048, 3)",8160,220,37.0909090909,29.1918276626,0.906161
ali-inay-2273.png,ali-inay-2273_quality_20.webp,"(1360, 2048, 3)",8160,173,47.1676300578,28.0145728025,0.870161
ali-inay-2273.png,ali-inay-2273_quality_10.webp,"(1360, 2048, 3)",8160,125,65.28,26.6371388549,0.816422
ali-inay-2277.png,ali-inay-2277_quality_100.webp,"(1365, 2048, 3)",8190,1715,4.77551020408,42.5726393686,0.993122
ali-inay-2277.png,ali-inay-2277_quality_90.webp,"(1365, 2048, 3)",8190,1030,7.95145631068,38.9246281027,0.984326
