reference image,compress image,ref img shape,ref image size,cps stream size,compress ratio,psnr,ssim
ali-inay-2273.png,ali-inay-2273_quality_10.jpeg,"(1360, 2048, 3)",8160,131,62.2900763359,24.8186668855,0.721788
ali-inay-2277.png,ali-inay-2277_quality_100.jpeg,"(1365, 2048, 3)",8190,2818,2.90631653655,44.796021502,0.996177
ali-inay-2277.png,ali-inay-2277_quality_90.jpeg,"(1365, 2048, 3)",8190,1074,7.62569832402,36.1053559697,0.969506
ali-inay-2277.png,ali-inay-2277_quality_60.jpeg,"(1365, 2048, 3)",8190,479,17.0981210856,30.8234037319,0.915665
ali-inay-2277.png,ali-inay-2277_quality_80.jpeg,"(1365, 2048, 3)",8190,720,11.375,33.2414165998,0.947078
ali-inay-2277.png,ali-inay-2277_quality_70.jpeg,"(1365, 2048, 3)",8190,570,14.3684210526,31.7926652398,0.930594
ali-inay-2277.png,ali-inay-2277_quality_50.jpeg,"(1365, 2048, 3)",8190,420,19.5,30.1345045833,0.903745
ali-inay-2277.png,ali-inay-2277_quality_40.jpeg,"(1365, 2048, 3)",8190,365,22.4383561644,29.4419933187,0.889028
ali-inay-2277.png,ali-inay-2277_quality_30.jpeg,"(1365, 2048, 3)",8190,306,26.7647058824,28.6012233091,0.867163
ali-inay-2277.png,ali-inay-2277_quality_20.jpeg,"(1365, 2048, 3)",8190,235,34.8510638298,27.3949168603,0.828287
ali-inay-2277.png,ali-inay-2277_quality_10.jpeg,"(1365, 2048, 3)",8190,145,56.4827586207,25.2415557645,0.730374
amar-yashlaha-122277.png,amar-yashlaha-122277_quality_100.jpeg,"(1240, 1861, 3)",6760,2492,2.71268057785,36.006116858,0.994397
amar-yashlaha-122277.png,amar-yashlaha-122277_quality_90.jpeg,"(1240, 1861, 3)",6760,929,7.27664155005,32.6121984381,0.984516
amar-yashlaha-122277.png,amar-yashlaha-122277_quality_60.jpeg,"(1240, 1861, 3)",6760,334,20.2395209581,27.9413820964,0.954211
amar-yashlaha-122277.png,amar-yashlaha-122277_quality_80.jpeg,"(1240, 1861, 3)",6760,599,11.285475793,29.9578526154,0.969988
